date,open,high,low,close,volume
2017-05-12,65.1,65.4,64.31,64.96,20608060
2017-05-15,63.68,64.04,62.51,63.18,38110020
2017-05-16,63.52,64.01,63.03,63.4,20762420
2017-05-17,62.88,62.93,61.1,61.22,33559700
2017-05-18,61.4,62.79,61.06,62.61,28269005
2017-05-19,63.1,63.3,62.04,62.17,23437860
2017-05-22,62.56,62.87,61.36,62.07,21645890
2017-05-23,62.09,62.15,60.7,60.77,21591770
2017-05-24,61.3,62.2,61.08,62.04,25208460
2017-05-25,62.2,63.39,61.56,63.37,25069815
2017-05-26,63.46,65.1,63.26,65.03,39010995
2017-05-30,65.2,67.26,65.15,67.02,38914580
2017-05-31,67.54,68.58,67.03,68.2,49817220
2017-06-01,68.8,68.98,67.46,68.07,38039980
2017-06-02,67.95,68.58,67.19,67.97,27951195
2017-06-05,67.7,69.69,66.84,69.46,33921840
2017-06-06,68.94,71.9,67.99,70.57,55433990
2017-06-07,71.27,72.1,71.03,71.93,46989795
2017-06-08,72.75,74.38,72.04,74.0,45307480
2017-06-09,74.88,75.37,70.96,71.46,86307175
2017-06-12,71.6,72.9,70.12,71.8,52588300
2017-06-13,73.52,75.2,73.32,75.19,59039600
2017-06-14,76.22,76.85,75.26,76.13,64092145
2017-06-15,74.5,75.09,73.3,75.07,52132345
2017-06-16,75.6,75.6,74.02,74.28,33654865
2017-06-19,75.0,75.34,73.56,73.96,32746660
2017-06-20,75.33,75.78,73.95,74.45,37193505
2017-06-21,74.87,75.4,73.6,75.28,24616050
2017-06-22,75.6,77.0,74.71,76.52,37648890
2017-06-23,76.49,77.4,75.87,76.69,32228790
2017-06-26,77.34,77.39,74.62,75.5,33020495
2017-06-27,75.28,75.28,72.4,72.47,34981995
2017-06-28,73.34,74.35,72.5,74.25,31512315
2017-06-29,74.12,74.2,70.82,72.15,41105190
2017-06-30,72.74,73.35,71.92,72.32,29242605
2017-07-03,74.05,74.27,70.3,70.52,31527005
2017-07-05,69.44,69.45,65.27,65.42,85233505
2017-07-06,63.45,64.16,61.26,61.77,96622475
2017-07-07,62.7,63.4,61.48,62.64,70884575
2017-07-10,62.58,63.59,60.63,63.21,69104445
2017-07-11,63.2,65.46,62.86,65.44,57797010
2017-07-12,66.08,66.62,64.9,65.9,51730635
2017-07-13,66.02,66.32,63.99,64.68,42972330
2017-07-14,64.64,65.68,64.24,65.56,28126055
2017-07-17,65.11,65.42,62.69,63.91,49384560
2017-07-18,63.5,65.83,63.13,65.65,31868600
2017-07-19,65.65,66.33,64.64,65.05,31785070
2017-07-20,65.38,66.04,64.84,65.98,25830940
2017-07-21,65.89,66.25,65.16,65.68,24508030
2017-07-24,66.05,68.68,66.0,68.5,43185410
2017-07-25,69.0,69.12,66.83,67.92,34945985
2017-07-26,68.07,69.1,67.62,68.77,24103950
2017-07-27,69.2,69.5,65.26,66.89,41512025
2017-07-28,67.38,67.92,66.5,67.01,24402070
2017-07-31,67.1,68.3,64.21,64.69,42675680
2017-08-01,64.6,64.89,63.23,63.91,41515510
2017-08-02,63.79,65.42,62.24,65.18,65457310
2017-08-03,69.07,70.0,68.63,69.42,67675165
2017-08-04,69.4,71.45,68.66,71.38,46344545
2017-08-07,71.47,71.9,70.55,71.03,31622400
2017-08-08,71.51,73.72,71.48,73.04,37249185
2017-08-09,72.2,74.0,71.79,72.71,34460480
2017-08-10,72.32,73.33,70.93,71.08,35464290
2017-08-11,71.39,72.25,70.72,71.57,21828915
2017-08-14,72.93,73.53,72.52,72.76,22595930
2017-08-15,73.04,73.1,71.87,72.47,15425440
2017-08-16,72.6,73.3,72.5,72.58,17068865
2017-08-17,72.24,72.66,70.32,70.38,25138300
2017-08-18,70.58,70.8,69.16,69.49,27040915
2017-08-21,69.16,69.16,66.37,67.57,32477120
2017-08-22,68.23,68.45,67.47,68.27,21609830
2017-08-23,67.8,70.7,67.66,70.55,24772520
2017-08-24,70.5,71.33,69.95,70.59,22923435
2017-08-25,70.85,71.14,69.46,69.61,17419780
2017-08-28,69.46,69.47,67.94,69.13,18819780
2017-08-29,67.9,69.81,67.75,69.47,20368375
2017-08-30,69.93,70.69,69.4,70.64,17064715
2017-08-31,70.71,71.69,70.56,71.18,20363975
2017-09-01,71.22,71.52,70.74,71.08,15247730
2017-09-05,70.76,71.1,69.18,69.92,19241910
2017-09-06,69.9,70.2,68.31,68.91,20456755
2017-09-07,69.2,70.5,68.69,70.12,21196065
2017-09-08,69.8,69.96,68.46,68.68,16317540
2017-09-11,70.27,72.74,70.0,72.74,38335275
2017-09-12,72.9,73.75,72.08,72.55,29864535
2017-09-13,72.76,73.61,71.92,73.25,20926155
2017-09-14,72.87,75.59,72.53,75.53,36012620
2017-09-15,74.9,76.0,74.54,75.96,27102480
2017-09-18,76.05,77.92,75.54,77.0,35939900
2017-09-19,76.0,76.48,74.71,75.02,32259430
2017-09-20,74.6,75.65,74.21,74.78,24595260
2017-09-21,74.98,75.37,72.9,73.3,23090950
2017-09-22,73.3,73.98,70.18,70.22,40797090
2017-09-25,70.63,71.49,68.58,69.0,38029730
2017-09-26,70.19,70.25,68.18,69.05,35781370
2017-09-27,69.98,70.3,68.1,68.19,30301650
2017-09-28,67.98,68.55,67.08,67.92,26598085
2017-09-29,68.37,68.94,67.72,68.22,25535410
2017-10-02,68.5,68.74,67.1,68.31,26433870
2017-10-03,67.18,69.71,66.26,69.63,50767980
2017-10-04,70.25,71.72,69.92,71.0,40817715
2017-10-05,71.2,71.49,70.27,71.07,20858375
